,loss
151,1.2574567244375447
152,1.279944640375831
153,1.1968192011056284
154,1.243998017792471
155,1.227976592700739
156,1.1985216130882834
157,1.1839762226480761
158,1.1784635219980382
159,1.1508515451533468
160,1.1390277138908491
161,1.1378406769093965
162,1.1116548130519142
163,1.091519538138985
164,1.0499028979030383
165,1.1127067020129802
166,1.079263905380006
167,1.0347031362302352
168,1.0853177025686083
169,1.0711714684050784
170,1.0093568993048772
171,1.0203021113715687
172,1.0110596385828758
173,0.9702690966522886
174,0.9935447589937794
175,0.9817150472657563
176,0.9461567704594722
177,0.9356764472364443
178,0.9517087475001738
179,0.9621582817922805
180,0.9659827895336127
181,0.9468792224650449
182,0.9939595245851384
183,0.9686377515563996
184,0.9330050416065733
185,0.9277054450213046
186,0.8590495921224417
187,0.8913015983397674
188,0.9063890826914199
189,0.8846395459607164
190,0.8902627226731281
191,0.8573237568768874
192,0.813744107263612
193,0.8659920187888187
194,0.8343029521593733
195,0.8353167441841192
196,0.8098560194610119
197,0.819384831015019
198,0.7844768643601157
199,0.8221823496664661
200,0.8064572004232221
201,0.7923544102036661
202,0.8011425127902206
203,0.8059125745350731
204,0.8065846906893994
205,0.7826403462546494
206,0.7270997997695472
207,0.7352811259872222
208,0.754036826711575
209,0.7348579596920747
210,0.7236689619402477
211,0.714137850391702
212,0.7453821888382296
213,0.7098702799203626
214,0.716663237638004
215,0.7108829105793073
216,0.7274219810000914
217,0.7020502881689115
218,0.7108117992171681
219,0.7600483165627725
220,0.7051939348519515
221,0.7086447295592154
222,0.6833752917760061
223,0.7028949359107421
224,0.6768309354017626
225,0.656708798282246
226,0.6643602980017957
227,0.6495961188086311
228,0.6689782337951029
229,0.6299207723974245
230,0.6449663162502712
231,0.6349414563100102
232,0.5973468335221314
233,0.6066500577531573
234,0.5926213628455633
235,0.5984963788244415
236,0.6230516069848823
237,0.6106738278971362
238,0.6244739245963975
239,0.581426152924787
240,0.5990468993456244
241,0.569014375321151
242,0.5848832024268291
243,0.5785374628841556
244,0.5765702936167948
245,0.5438379016872472
246,0.5433045753551802
247,0.544817012982473
248,0.5518945949502755
249,0.5261944457611172
250,0.5953677559150464
251,0.550819748706644
252,0.5114309175736065
253,0.5310575149592704
254,0.5352310315730111
255,0.49149150281441717
256,0.5513447089213993
257,0.5659987935237664
258,0.5387300999575426
259,0.5414579897243522
260,0.5480947503261345
261,0.5312544931532382
262,0.5217202219358396
263,0.5126459653041162
264,0.5457293207383027
265,0.5189085319101885
266,0.516617256135402
267,0.4728677594555672
268,0.5257929421847253
269,0.49809933574635185
270,0.4815230920978652
271,0.45365415870169246
272,0.48182651393167925
273,0.5069464884010977
274,0.49165851684163114
275,0.4493789479759147
276,0.4968557528316062
277,0.5171678443560681
278,0.4806144325679918
279,0.47274690185144486
280,0.48454246775123466
281,0.4655628413714108
282,0.47675374664449477
283,0.46488134368767065
284,0.4540744066472679
285,0.5032132720905342
286,0.4563425686618835
287,0.4504980149104371
288,0.4212488758758814
289,0.4395406855733423
290,0.42680409888516885
291,0.4467632307782368
292,0.41603500610868643
293,0.44452015747634843
294,0.42194607178805826
295,0.4488061472656414
296,0.449457072963831
297,0.4115383075469281
298,0.49350140094263867
299,0.4479437245223263
300,0.49104198305430274
301,0.43826420787054493
302,0.43902623129990853
303,0.41330845551052814
304,0.4045981935383024
305,0.40317195219272517
306,0.4177287017381729
307,0.38663093406008847
308,0.44411954737160886
309,0.3816297724997154
310,0.36497066106167914
311,0.38538767040749944
312,0.4064703332795848
313,0.39994833481844466
314,0.37954421867922805
315,0.35551372312246693
316,0.36641488276363454
317,0.3622088266284593
318,0.38255219633760756
319,0.3817306316365597
320,0.3294569033825748
321,0.3693060823151727
322,0.38653448777081406
323,0.361590893004347
324,0.3886190241616548
325,0.35713329498167123
326,0.39419973732261654
327,0.3862090673348506
328,0.3630993035080564
329,0.3568051024241836
330,0.3270705396731037
331,0.3537864016756619
332,0.34429336633621094
333,0.3699343594875423
334,0.3455157336132754
335,0.3331268582960077
336,0.36616736196095556
337,0.3335970342282574
338,0.3229717604621758
339,0.3484385966989537
340,0.35251219303994125
341,0.3139071456153974
342,0.31778357674421287
343,0.3404719483571256
344,0.3596272358025802
345,0.31973127863552137
346,0.34426784995029325
347,0.34284706820645605
348,0.33452200394526066
349,0.34653200961288755
350,0.3150917304002356
351,0.32872694920645207
352,0.31690406714237374
353,0.34570013770250235
354,0.3181058781627638
355,0.3648496324695064
356,0.3605715792331757
357,0.3264935223596077
358,0.34065481777471307
359,0.3408525440599931
360,0.3106474460502967
361,0.31052311447271397
362,0.3071673937838557
363,0.353641098165591
364,0.32252144503469216
365,0.30780180280409325
366,0.324962785193927
367,0.34925986476547716
368,0.29782273902114287
369,0.32762980176579787
370,0.34030258631195764
371,0.3357227961966259
372,0.3215298166727423
373,0.3176867863611096
374,0.3300347602905002
375,0.3305184023595813
376,0.3419942893904746
377,0.30786432311660156
378,0.3518363724612578
379,0.29279480356357784
380,0.36680910243110615
381,0.3285800549496438
382,0.3053942970657181
383,0.32136644458149305
384,0.329673225866969
385,0.3091994410162629
386,0.29445457438767625
387,0.26653468485244997
388,0.3252247944135137
389,0.30071789721380743
390,0.3283223753373486
391,0.3021528569871254
392,0.2840639602070783
393,0.3285359700075915
394,0.305348041398396
395,0.32660429085958187
396,0.33558956118756006
397,0.28737680053890957
398,0.30262992569285085
399,0.2679999516101652
