,loss
152,1.5734189681194022
153,1.5193984197297765
154,1.4977150969530957
155,1.6088158339077054
156,1.5734814730467854
157,1.4681330294859622
158,1.4675907475621828
159,1.4570901970948176
160,1.463082796243976
161,1.5158409810924411
162,1.4220710259407179
163,1.4335690306196738
164,1.4334281218855847
165,1.3965240990173535
166,1.3866739840264848
167,1.3381133880504754
168,1.3107519627209285
169,1.3330739162458485
170,1.3093108942945684
171,1.283212482189412
172,1.3271762044852955
173,1.2687229732368226
174,1.3010642332728855
175,1.310929128144169
176,1.4896583749481505
177,1.3015317515395721
178,1.25125594569673
179,1.2472800298520341
180,1.2680630740618282
181,1.2068918875835135
182,1.1819431645642344
183,1.2011072727388028
184,1.213590855040134
185,1.3503800547216667
186,1.266700938609103
187,1.1582484988077248
188,1.0904216576470882
189,1.129128437472317
190,1.0356573849410915
191,1.069217530542728
192,1.4992395824867188
193,1.0907418254391439
194,1.0439110937126421
195,1.0708097608118052
196,1.0972630355197337
197,1.1164809237544477
198,0.9780974998718754
199,1.0335419989342427
200,1.0024965460703892
201,1.1292098150995087
202,1.1773927043329648
203,1.0535246082510294
204,1.0501873398497916
205,0.9472444846603463
206,0.984591097884993
207,0.9504730875796901
208,1.0218564397695886
209,1.0283528863027365
210,0.9899844234030158
211,1.0207754655667558
212,0.9341030723554417
213,0.8929694729695697
214,0.94874912480653
215,1.0908448641513269
216,0.9767929126173689
217,0.9461749860162226
218,0.8689564118268917
219,0.8877848621656641
220,0.9214188209189627
221,0.8269413778258593
222,0.8775051859325745
223,0.8244108812938212
224,0.8325890392669233
225,0.8896718592894289
226,0.7662531676177008
227,0.7715012304142679
228,0.7705299297195848
229,0.8560696233389148
230,0.7763840309292214
231,0.807981236394299
232,0.9329223791626696
233,0.7704622998531564
234,0.7394940957186584
235,0.7452100131400222
236,0.8324600515974224
237,0.8181192001800277
238,0.7711157859185535
239,0.7977839272329025
240,0.7499745425528912
241,0.6707601545021757
242,0.8027938405343902
243,0.9891645363849897
244,0.7420190685684147
245,0.7554696084030611
246,0.7338456291278433
247,0.6745175297071877
248,0.6612956835111903
249,0.7181674048927238
250,0.6290974861144231
251,0.6176867424627942
252,0.8810264113327172
253,0.7206303190484636
254,0.6847581688683044
255,0.8033076022398289
256,0.6736683310631834
257,0.6566552901297598
258,0.6596668508299925
259,0.6479093878536516
260,0.665487650336438
261,0.6519706614028831
262,0.6174557449825548
263,0.6000756021122031
264,1.306372687078775
265,0.7049289687906951
266,0.5906327800824468
267,0.6117652043805025
268,0.7588038208640504
269,0.6352741508923831
270,0.5919362057029683
271,0.6954501617729146
272,0.5786792576978854
273,0.6527017608845979
274,0.6457726133722976
275,0.5725771563453619
276,0.6425516853216121
277,0.4981620804578941
278,0.5462764409834262
279,0.5742851409369083
280,0.5398367294162376
281,0.5408689902003363
282,0.5498607902177661
283,0.6389614336245012
284,0.5951197701492831
285,0.5265540902433091
286,0.4713381878880612
287,0.5570325523577893
288,0.5714020289859842
289,0.4767669071133195
290,0.44784659289677475
291,1.3220828306245862
292,4.192187119279955
293,3.590055170560307
294,3.43085918448215
295,3.3088036725774597
296,3.2746734026300053
297,3.202596833896282
298,3.191679940817521
299,3.172142439752657
300,3.130811254002607
301,3.1136221181374717
302,3.107220442077075
303,3.085083955272348
304,3.0491769076084174
305,3.0488390036738013
306,3.065148136366188
307,3.0154297143701783
308,2.985216970526585
309,2.9766278900190675
310,2.937327412864518
311,2.919249135105384
312,2.9196529339106556
313,2.865328869446773
314,2.841684475386986
315,3.0929756110297486
316,2.87592612567597
317,2.8526749030883813
318,2.8118647145100453
319,2.7669553758686716
320,2.751090742508932
321,2.726299910689367
322,2.6817939408712266
323,2.6320416139185205
324,2.603949883085763
325,2.5683233762606146
326,2.5259181394723016
327,2.469243700266575
328,2.3985219169462026
329,2.3768652179885317
330,2.2871106434420807
331,2.247770361925977
332,2.2439760402258044
333,2.164737213728198
334,2.130600888816887
335,2.0674152247018935
336,2.015380908696179
337,1.94072715152035
338,1.8991701257687539
339,1.8421304032582608
340,1.8144835722954449
341,1.7563373133028446
342,1.686438515603567
343,1.674442510739012
344,1.582982591079393
345,1.5740663432660653
346,1.5654411265610366
347,1.5682801314262402
348,1.4938766705777757
349,1.4848865466912917
350,1.423081337937058
351,1.4043015566649495
352,1.3704443238567705
353,1.3310206661453214
354,1.342637477665338
355,1.2466536885112782
356,1.2575651341644654
357,1.1928860015202318
358,1.215872480596054
359,1.1509706170587535
360,1.1391532226540009
361,1.2158043103914493
362,1.125958679873538
363,1.0506115587082194
364,1.014372754316464
365,0.9842505601500992
366,1.0167615421803766
367,0.9765977899077316
368,0.919293601699343
369,0.9806610318713805
370,0.9720227119840765
371,0.9261195341515847
372,0.9252943448848748
373,0.8741636475009469
374,0.8451536449460783
375,0.851963630998041
376,0.8110364995492999
377,0.8713202079465974
378,0.868933851795597
379,0.8617025814521988
380,0.8017922084490327
381,0.7985803606246787
382,0.7980931688302008
383,0.7696756447550183
384,0.8200453886770739
385,0.8140574953602423
386,0.8125853253190163
387,0.6930165248909518
388,0.7112102576854755
389,0.7345170823315426
390,0.6783461366919974
391,0.6700077766369925
392,0.7312441488953726
393,0.7746619870951711
394,0.6673964000359812
395,0.6625172607061238
396,0.5933507527750683
397,0.6585481292115394
398,0.6402228846991905
399,0.8204191018837663
